+9.47700000000000e+05 +2.10485000000000e+06 +3.07750000000000e+03 
+9.47702996254680e+05 +2.10485000000000e+06 +3.07727000000000e+03 
+9.47705992509360e+05 +2.10485000000000e+06 +3.07628000000000e+03 
+9.47708988764040e+05 +2.10485000000000e+06 +3.07686000000000e+03 
+9.47711985018730e+05 +2.10485000000000e+06 +3.07642000000000e+03 
+9.47714981273410e+05 +2.10485000000000e+06 +3.07650000000000e+03 
+9.47717977528090e+05 +2.10485000000000e+06 +3.07643000000000e+03 
+9.47720973782770e+05 +2.10485000000000e+06 +3.07665000000000e+03 
+9.47723970037450e+05 +2.10485000000000e+06 +3.07726000000000e+03 
+9.47726966292130e+05 +2.10485000000000e+06 +3.07880000000000e+03 
+9.47729962546820e+05 +2.10485000000000e+06 +3.08076000000000e+03 
+9.47732958801500e+05 +2.10485000000000e+06 +3.08314000000000e+03 
+9.47735955056180e+05 +2.10485000000000e+06 +3.08377000000000e+03 
+9.47738951310860e+05 +2.10485000000000e+06 +3.08565000000000e+03 
+9.47741947565540e+05 +2.10485000000000e+06 +3.08752000000000e+03 
+9.47744943820220e+05 +2.10485000000000e+06 +3.09001000000000e+03 
+9.47747940074910e+05 +2.10485000000000e+06 +3.09230000000000e+03 
+9.47750936329590e+05 +2.10485000000000e+06 +3.09424000000000e+03 
+9.47753932584270e+05 +2.10485000000000e+06 +3.09667000000000e+03 
+9.47756928838950e+05 +2.10485000000000e+06 +3.09882000000000e+03 
+9.47759925093630e+05 +2.10485000000000e+06 +3.10198000000000e+03 
+9.47762921348310e+05 +2.10485000000000e+06 +3.10378000000000e+03 
+9.47765917603000e+05 +2.10485000000000e+06 +3.10622000000000e+03 
+9.47768913857680e+05 +2.10485000000000e+06 +3.10971000000000e+03 
+9.47771910112360e+05 +2.10485000000000e+06 +3.11340000000000e+03 
+9.47774906367040e+05 +2.10485000000000e+06 +3.11622000000000e+03 
+9.47777902621720e+05 +2.10485000000000e+06 +3.12005000000000e+03 
+9.47780898876400e+05 +2.10485000000000e+06 +3.12953000000000e+03 
+9.47783895131090e+05 +2.10485000000000e+06 +3.12913000000000e+03 
+9.47786891385770e+05 +2.10485000000000e+06 +3.13409000000000e+03 
+9.47789887640450e+05 +2.10485000000000e+06 +3.13658000000000e+03 
+9.47792883895130e+05 +2.10485000000000e+06 +3.13864000000000e+03 
+9.47795880149810e+05 +2.10485000000000e+06 +3.14066000000000e+03 
+9.47798876404490e+05 +2.10485000000000e+06 +3.14410000000000e+03 
+9.47801872659180e+05 +2.10485000000000e+06 +3.14648000000000e+03 
+9.47804868913860e+05 +2.10485000000000e+06 +3.14968000000000e+03 
+9.47807865168540e+05 +2.10485000000000e+06 +3.15606000000000e+03 
+9.47810861423220e+05 +2.10485000000000e+06 +3.16075000000000e+03 
+9.47813857677900e+05 +2.10485000000000e+06 +3.16244000000000e+03 
+9.47816853932580e+05 +2.10485000000000e+06 +3.16485000000000e+03 
+9.47819850187270e+05 +2.10485000000000e+06 +3.16639000000000e+03 
+9.47822846441950e+05 +2.10485000000000e+06 +3.16755000000000e+03 
+9.47825842696630e+05 +2.10485000000000e+06 +3.16434000000000e+03 
+9.47828838951310e+05 +2.10485000000000e+06 +3.16228000000000e+03 
+9.47831835205990e+05 +2.10485000000000e+06 +3.16101000000000e+03 
+9.47834831460670e+05 +2.10485000000000e+06 +3.15993000000000e+03 
+9.47837827715360e+05 +2.10485000000000e+06 +3.15954000000000e+03 
+9.47840823970040e+05 +2.10485000000000e+06 +3.15835000000000e+03 
+9.47843820224720e+05 +2.10485000000000e+06 +3.15930000000000e+03 
+9.47846816479400e+05 +2.10485000000000e+06 +3.16018000000000e+03 
+9.47849812734080e+05 +2.10485000000000e+06 +3.16033000000000e+03 
+9.47852808988760e+05 +2.10485000000000e+06 +3.15451000000000e+03 
+9.47855805243450e+05 +2.10485000000000e+06 +3.15190000000000e+03 
+9.47858801498130e+05 +2.10485000000000e+06 +3.15248000000000e+03 
+9.47861797752810e+05 +2.10485000000000e+06 +3.15138000000000e+03 
+9.47864794007490e+05 +2.10485000000000e+06 +3.14876000000000e+03 
+9.47867790262170e+05 +2.10485000000000e+06 +3.14951000000000e+03 
+9.47870786516850e+05 +2.10485000000000e+06 +3.14892000000000e+03 
+9.47873782771540e+05 +2.10485000000000e+06 +3.14694000000000e+03 
+9.47876779026220e+05 +2.10485000000000e+06 +3.14403000000000e+03 
+9.47879775280900e+05 +2.10485000000000e+06 +3.13979000000000e+03 
+9.47882771535580e+05 +2.10485000000000e+06 +3.13648000000000e+03 
+9.47885767790260e+05 +2.10485000000000e+06 +3.13588000000000e+03 
+9.47888764044940e+05 +2.10485000000000e+06 +3.14029000000000e+03 
+9.47891760299630e+05 +2.10485000000000e+06 +3.13969000000000e+03 
+9.47894756554310e+05 +2.10485000000000e+06 +3.13739000000000e+03 
+9.47897752808990e+05 +2.10485000000000e+06 +3.13618000000000e+03 
+9.47900749063670e+05 +2.10485000000000e+06 +3.13291000000000e+03 
+9.47903745318350e+05 +2.10485000000000e+06 +3.13157000000000e+03 
+9.47906741573030e+05 +2.10485000000000e+06 +3.13104000000000e+03 
+9.47909737827720e+05 +2.10485000000000e+06 +3.12990000000000e+03 
+9.47912734082400e+05 +2.10485000000000e+06 +3.12851000000000e+03 
+9.47915730337080e+05 +2.10485000000000e+06 +3.12762000000000e+03 
+9.47918726591760e+05 +2.10485000000000e+06 +3.12683000000000e+03 
+9.47921722846440e+05 +2.10485000000000e+06 +3.12581000000000e+03 
+9.47924719101120e+05 +2.10485000000000e+06 +3.12410000000000e+03 
+9.47927715355810e+05 +2.10485000000000e+06 +3.12403000000000e+03 
+9.47930711610490e+05 +2.10485000000000e+06 +3.12194000000000e+03 
+9.47933707865170e+05 +2.10485000000000e+06 +3.12146000000000e+03 
+9.47936704119850e+05 +2.10485000000000e+06 +3.12115000000000e+03 
+9.47939700374530e+05 +2.10485000000000e+06 +3.12019000000000e+03 
+9.47942696629210e+05 +2.10485000000000e+06 +3.11971000000000e+03 
+9.47945692883900e+05 +2.10485000000000e+06 +3.12005000000000e+03 
+9.47948689138580e+05 +2.10485000000000e+06 +3.11995000000000e+03 
+9.47951685393260e+05 +2.10485000000000e+06 +3.11829000000000e+03 
+9.47954681647940e+05 +2.10485000000000e+06 +3.11697000000000e+03 
+9.47957677902620e+05 +2.10485000000000e+06 +3.11854000000000e+03 
+9.47960674157300e+05 +2.10485000000000e+06 +3.11904000000000e+03 
+9.47963670411990e+05 +2.10485000000000e+06 +3.11947000000000e+03 
+9.47966666666670e+05 +2.10485000000000e+06 +3.12064000000000e+03 
+9.47969662921350e+05 +2.10485000000000e+06 +3.12165000000000e+03 
+9.47972659176030e+05 +2.10485000000000e+06 +3.12012000000000e+03 
+9.47975655430710e+05 +2.10485000000000e+06 +3.11828000000000e+03 
+9.47978651685390e+05 +2.10485000000000e+06 +3.11717000000000e+03 
+9.47981647940070e+05 +2.10485000000000e+06 +3.11466000000000e+03 
+9.47984644194760e+05 +2.10485000000000e+06 +3.11363000000000e+03 
+9.47987640449440e+05 +2.10485000000000e+06 +3.11290000000000e+03 
+9.47990636704120e+05 +2.10485000000000e+06 +3.11366000000000e+03 
+9.47993632958800e+05 +2.10485000000000e+06 +3.11421000000000e+03 
+9.47996629213480e+05 +2.10485000000000e+06 +3.11387000000000e+03 
+9.47999625468160e+05 +2.10485000000000e+06 +3.11374000000000e+03 
+9.48002621722850e+05 +2.10485000000000e+06 +3.11513000000000e+03 
+9.48005617977530e+05 +2.10485000000000e+06 +3.11457000000000e+03 
+9.48008614232210e+05 +2.10485000000000e+06 +3.11394000000000e+03 
+9.48011610486890e+05 +2.10485000000000e+06 +3.11321000000000e+03 
+9.48014606741570e+05 +2.10485000000000e+06 +3.11432000000000e+03 
+9.48017602996250e+05 +2.10485000000000e+06 +3.12399000000000e+03 
+9.48020599250940e+05 +2.10485000000000e+06 +3.13131000000000e+03 
+9.48023595505620e+05 +2.10485000000000e+06 +3.12681000000000e+03 
+9.48026591760300e+05 +2.10485000000000e+06 +3.12247000000000e+03 
+9.48029588014980e+05 +2.10485000000000e+06 +3.12196000000000e+03 
+9.48032584269660e+05 +2.10485000000000e+06 +3.13363000000000e+03 
+9.48035580524340e+05 +2.10485000000000e+06 +3.13747000000000e+03 
+9.48038576779030e+05 +2.10485000000000e+06 +3.13310000000000e+03 
+9.48041573033710e+05 +2.10485000000000e+06 +3.13970000000000e+03 
