1	2	793	948024.800042	2105072.97968	3114.32259262	0.0
1	2	1034	948024.887754	2105075.40115	3116.77428818	0.0
1	2	1040	948023.174023	2105040.46696	3104.85612894	0.0
1	2	819	948023.738672	2105042.72063	3105.18204444	0.0
1	2	1052	948025.007108	2105070.67969	3112.48964136	0.0
1	2	1278	948022.206257	2105036.60907	3104.57063515	0.0
1	2	1350	948022.125035	2105038.87426	3104.76616391	0.0
1	2	865	948025.116181	2105066.92493	3109.98683426	0.0
1	2	860	948024.880417	2105054.84401	3106.40370624	0.0
1	2	1047	948024.911782	2105062.78354	3107.97532692	0.0
1	2	1044	948024.82426	2105058.98905	3106.83376668	0.0
1	2	1990	948024.265176	2105060.89994	3107.04609262	0.0
1	2	641	948025.476389	2105048.664	3106.30374649	0.0
1	2	966	948024.007886	2105046.81347	3106.32462581	0.0
1	2	1110	948023.352359	2105044.83718	3105.74550334	0.0
1	2	943	948024.415357	2105079.03192	3120.50910982	0.0
1	2	1415	948024.129151	2105077.0285	3118.04998389	0.0
1	2	965	948024.423345	2105050.77285	3106.39737395	0.0
1	2	1230	948024.198525	2105052.83897	3106.24235118	0.0
1	2	1339	948024.381589	2105056.94757	3106.32204557	0.0
1	2	1363	948024.555425	2105064.84494	3108.66492404	0.0
1	2	1362	948024.476435	2105068.91758	3110.91949845	0.0
1	2	1569	948021.244542	2105034.68065	3104.58418839	0.0
1	2	950	948021.14479	2105032.7711	3104.58375065	0.0
1	2	879	947982.106734	2105061.00129	3105.55781878	0.0
1	2	882	947983.815938	2105042.66407	3105.13211635	0.0
1	2	1703	947984.734235	2105040.89103	3104.96352187	0.0
1	2	1545	947982.617389	2105062.90043	3106.14301913	0.0
1	2	1148	947982.064999	2105068.69396	3108.99670258	0.0
1	2	1761	947982.6646	2105058.72636	3104.75138869	0.0
1	2	942	947982.04631	2105064.81526	3106.92961442	0.0
1	2	826	947983.182687	2105046.95003	3105.36200209	0.0
1	2	922	947982.075842	2105053.5991	3103.36374924	0.0
1	2	1208	947983.352277	2105049.26572	3104.49465972	0.0
1	2	892	947984.524643	2105038.83973	3105.80768153	0.0
1	2	1795	947983.623474	2105050.90275	3103.47842821	0.0
1	2	1304	947983.49185	2105044.98847	3105.1908957	0.0
1	2	1522	947982.886873	2105055.24953	3103.57006368	0.0
1	2	1789	947983.049472	2105056.88784	3104.03274687	0.0
1	2	1796	947983.258411	2105052.37075	3102.98760106	0.0
1	2	1688	947982.551965	2105066.83066	3107.77443767	0.0
1	2	648	948019.436436	2105023.48008	3108.44454992	0.0
1	2	844	948017.466879	2105021.40077	3111.19810406	0.0
1	2	1578	947985.263579	2105037.04385	3106.35686875	0.0
1	2	577	947984.253976	2105033.34432	3110.18205951	0.0
1	2	1674	947984.274133	2105031.44153	3112.39021582	0.0
1	2	969	947984.945625	2105035.425	3107.78499566	0.0
1	2	1025	947987.430454	2105025.41371	3121.07569706	0.0
1	2	1273	948017.418295	2105023.47562	3108.89790461	0.0
1	2	699	947985.721898	2105030.5811	3113.07990312	0.0
1	2	635	948021.673984	2105030.30001	3104.78916817	0.0
1	2	1035	948015.643472	2105019.45193	3114.19950214	0.0
