 9.4770000e+05  2.1048500e+06  3.1520322e+03 
 9.4770200e+05  2.1048500e+06  3.1521293e+03 
 9.4770400e+05  2.1048500e+06  3.1522275e+03 
 9.4770600e+05  2.1048500e+06  3.1523269e+03 
 9.4770800e+05  2.1048500e+06  3.1524274e+03 
 9.4771000e+05  2.1048500e+06  3.1525291e+03 
 9.4771200e+05  2.1048500e+06  3.1526320e+03 
 9.4771400e+05  2.1048500e+06  3.1539955e+03 
 9.4771600e+05  2.1048500e+06  3.1540736e+03 
 9.4771800e+05  2.1048500e+06  3.1541528e+03 
 9.4772000e+05  2.1048500e+06  3.1542330e+03 
 9.4772200e+05  2.1048500e+06  3.1543144e+03 
 9.4772400e+05  2.1048500e+06  3.1543969e+03 
 9.4772600e+05  2.1048500e+06  3.1544805e+03 
 9.4772800e+05  2.1048500e+06  3.1545652e+03 
 9.4773000e+05  2.1048500e+06  3.1546511e+03 
 9.4773200e+05  2.1048500e+06  3.1547382e+03 
 9.4773400e+05  2.1048500e+06  3.1548264e+03 
 9.4773600e+05  2.1048500e+06  3.1549158e+03 
 9.4773800e+05  2.1048500e+06  3.1550064e+03 
 9.4774000e+05  2.1048500e+06  3.1550983e+03 
 9.4774200e+05  2.1048500e+06  3.1551913e+03 
 9.4774400e+05  2.1048500e+06  3.1552856e+03 
 9.4774600e+05  2.1048500e+06  3.1553811e+03 
 9.4774800e+05  2.1048500e+06  3.1573590e+03 
 9.4775000e+05  2.1048500e+06  3.1574691e+03 
 9.4775200e+05  2.1048500e+06  3.1575807e+03 
 9.4775400e+05  2.1048500e+06  3.1576939e+03 
 9.4775600e+05  2.1048500e+06  3.1578085e+03 
 9.4775800e+05  2.1048500e+06  3.1579247e+03 
 9.4776000e+05  2.1048500e+06  3.1580425e+03 
 9.4776200e+05  2.1048500e+06  3.1581618e+03 
 9.4776400e+05  2.1048500e+06  3.1582827e+03 
 9.4776600e+05  2.1048500e+06  3.1584051e+03 
 9.4776800e+05  2.1048500e+06  3.1585292e+03 
 9.4777000e+05  2.1048500e+06  3.1586549e+03 
 9.4777200e+05  2.1048500e+06  3.1586618e+03 
 9.4777400e+05  2.1048500e+06  3.1587769e+03 
 9.4777600e+05  2.1048500e+06  3.1588937e+03 
 9.4777800e+05  2.1048500e+06  3.1590122e+03 
 9.4778000e+05  2.1048500e+06  3.1600350e+03 
 9.4778200e+05  2.1048500e+06  3.1601551e+03 
 9.4778400e+05  2.1048500e+06  3.1602769e+03 
 9.4778600e+05  2.1048500e+06  3.1604003e+03 
 9.4778800e+05  2.1048500e+06  3.1605253e+03 
 9.4779000e+05  2.1048500e+06  3.1606519e+03 
 9.4779200e+05  2.1048500e+06  3.1607802e+03 
 9.4779400e+05  2.1048500e+06  3.1609101e+03 
 9.4779600e+05  2.1048500e+06  3.1610416e+03 
 9.4779800e+05  2.1048500e+06  3.1611748e+03 
 9.4780000e+05  2.1048500e+06  3.1619807e+03 
 9.4780200e+05  2.1048500e+06  3.1621303e+03 
 9.4780400e+05  2.1048500e+06  3.1622818e+03 
 9.4780600e+05  2.1048500e+06  3.1624352e+03 
 9.4780800e+05  2.1048500e+06  3.1625905e+03 
 9.4781000e+05  2.1048500e+06  3.1627477e+03 
 9.4781200e+05  2.1048500e+06  3.1629068e+03 
 9.4781400e+05  2.1048500e+06  3.1630678e+03 
 9.4781600e+05  2.1048500e+06  3.1632306e+03 
 9.4781800e+05  2.1048500e+06  3.1672903e+03 
 9.4782000e+05  2.1048500e+06  3.1673882e+03 
 9.4782200e+05  2.1048500e+06  3.1674874e+03 
 9.4782400e+05  2.1048500e+06  3.1675880e+03 
 9.4782600e+05  2.1048500e+06  3.1676899e+03 
 9.4782800e+05  2.1048500e+06  3.1677932e+03 
 9.4783000e+05  2.1048500e+06  3.1678979e+03 
 9.4783200e+05  2.1048500e+06  3.1680038e+03 
 9.4783400e+05  2.1048500e+06  3.1643343e+03 
 9.4783600e+05  2.1048500e+06  3.1645707e+03 
 9.4783800e+05  2.1048500e+06  3.1648072e+03 
 9.4784000e+05  2.1048500e+06  3.1650436e+03 
 9.4784200e+05  2.1048500e+06  3.1652799e+03 
 9.4784400e+05  2.1048500e+06  3.1658049e+03 
 9.4784600e+05  2.1048500e+06  3.1672879e+03 
 9.4784800e+05  2.1048500e+06  3.1675414e+03 
 9.4785000e+05  2.1048500e+06  3.1676961e+03 
 9.4785200e+05  2.1048500e+06  3.1683817e+03 
 9.4785400e+05  2.1048500e+06  3.1686337e+03 
 9.4785600e+05  2.1048500e+06  3.1688223e+03 
 9.4785800e+05  2.1048500e+06  3.1696629e+03 
 9.4786000e+05  2.1048500e+06  3.1700181e+03 
 9.4786200e+05  2.1048500e+06  3.1705326e+03 
 9.4786400e+05  2.1048500e+06  3.1716503e+03 
 9.4786600e+05  2.1048500e+06  3.1725838e+03 
 9.4786800e+05  2.1048500e+06  3.1725811e+03 
 9.4787000e+05  2.1048500e+06  3.1729107e+03 
 9.4787200e+05  2.1048500e+06  3.1728509e+03 
 9.4787400e+05  2.1048500e+06  3.1730642e+03 
 9.4787600e+05  2.1048500e+06  3.1732756e+03 
 9.4787800e+05  2.1048500e+06  3.1738533e+03 
 9.4788000e+05  2.1048500e+06  3.1740539e+03 
 9.4788200e+05  2.1048500e+06  3.1743000e+03 
 9.4788400e+05  2.1048500e+06  3.1744810e+03 
 9.4788600e+05  2.1048500e+06  3.1749686e+03 
 9.4788800e+05  2.1048500e+06  3.1746627e+03 
 9.4789000e+05  2.1048500e+06  3.1742968e+03 
 9.4789200e+05  2.1048500e+06  3.1736205e+03 
 9.4789400e+05  2.1048500e+06  3.1735335e+03 
 9.4789600e+05  2.1048500e+06  3.1737226e+03 
 9.4789800e+05  2.1048500e+06  3.1735718e+03 
 9.4790000e+05  2.1048500e+06  3.1736150e+03 
 9.4790200e+05  2.1048500e+06  3.1730760e+03 
 9.4790400e+05  2.1048500e+06  3.1740793e+03 
 9.4790600e+05  2.1048500e+06  3.1743359e+03 
 9.4790800e+05  2.1048500e+06  3.1745829e+03 
 9.4791000e+05  2.1048500e+06  3.1745471e+03 
 9.4791200e+05  2.1048500e+06  3.1752450e+03 
 9.4791400e+05  2.1048500e+06  3.1755227e+03 
 9.4791600e+05  2.1048500e+06  3.1743742e+03 
 9.4791800e+05  2.1048500e+06  3.1744316e+03 
 9.4792000e+05  2.1048500e+06  3.1739055e+03 
 9.4792200e+05  2.1048500e+06  3.1741799e+03 
 9.4792400e+05  2.1048500e+06  3.1748763e+03 
 9.4792600e+05  2.1048500e+06  3.1750977e+03 
 9.4792800e+05  2.1048500e+06  3.1751063e+03 
 9.4793000e+05  2.1048500e+06  3.1751228e+03 
 9.4793200e+05  2.1048500e+06  3.1751574e+03 
 9.4793400e+05  2.1048500e+06  3.1751606e+03 
 9.4793600e+05  2.1048500e+06  3.1752975e+03 
 9.4793800e+05  2.1048500e+06  3.1753502e+03 
 9.4794000e+05  2.1048500e+06  3.1750312e+03 
 9.4794200e+05  2.1048500e+06  3.1750125e+03 
 9.4794400e+05  2.1048500e+06  3.1753664e+03 
 9.4794600e+05  2.1048500e+06  3.1754356e+03 
 9.4794800e+05  2.1048500e+06  3.1750524e+03 
 9.4795000e+05  2.1048500e+06  3.1747305e+03 
 9.4795200e+05  2.1048500e+06  3.1745432e+03 
 9.4795400e+05  2.1048500e+06  3.1736174e+03 
 9.4795600e+05  2.1048500e+06  3.1744072e+03 
 9.4795800e+05  2.1048500e+06  3.1799270e+03 
 9.4796000e+05  2.1048500e+06  3.1797531e+03 
 9.4796200e+05  2.1048500e+06  3.1802714e+03 
 9.4796400e+05  2.1048500e+06  3.1811871e+03 
 9.4796600e+05  2.1048500e+06  3.1816604e+03 
 9.4796800e+05  2.1048500e+06  3.1812581e+03 
 9.4797000e+05  2.1048500e+06  3.1812886e+03 
 9.4797200e+05  2.1048500e+06  3.1813587e+03 
 9.4797400e+05  2.1048500e+06  3.1811984e+03 
 9.4797600e+05  2.1048500e+06  3.1812595e+03 
 9.4797800e+05  2.1048500e+06  3.1813223e+03 
 9.4798000e+05  2.1048500e+06  3.1812077e+03 
 9.4798200e+05  2.1048500e+06  3.1812869e+03 
 9.4798400e+05  2.1048500e+06  3.1814005e+03 
 9.4798600e+05  2.1048500e+06  3.1814781e+03 
 9.4798800e+05  2.1048500e+06  3.1815573e+03 
 9.4799000e+05  2.1048500e+06  3.1812124e+03 
 9.4799200e+05  2.1048500e+06  3.1820767e+03 
 9.4799400e+05  2.1048500e+06  3.1821629e+03 
