9.4783678055e5	2.1050944328e6
9.4783048630e5	2.1050779819e6
9.4782772064e5	2.1050717831e6
9.4782562256e5	2.1050634384e6
9.4782209396e5	2.1050503254e6
9.4781932831e5	2.1050419807e6
9.4782009125e5	2.1050326824e6
9.4782209396e5	2.1050245762e6
9.4782495499e5	2.1050186157e6
9.4783115387e5	2.1050093174e6
9.4783334732e5	2.1050045490e6
9.4783954620e5	2.1049966812e6
9.4784374237e5	2.1049902439e6
9.4784517288e5	2.1049835682e6
9.4784870148e5	2.1049747467e6
9.4785842896e5	2.1049611568e6
9.4786958694e5	2.1049494743e6
9.4787721634e5	2.1049373150e6
9.4788627625e5	2.1049299240e6
9.4791355133e5	2.1049251556e6
9.4792747498e5	2.1049213409e6
9.4793586731e5	2.1049201488e6
9.4795541763e5	2.1049156189e6
9.4796104431e5	2.1049201488e6
9.4796867371e5	2.1049213409e6
9.4797496796e5	2.1049232483e6
9.4798679352e5	2.1049213409e6
9.4799938202e5	2.1049182415e6
9.4800844193e5	2.1049182415e6
9.4801683426e5	2.1049213409e6
9.4802312851e5	2.1049251556e6
9.4802799225e5	2.1049294472e6
9.4803152084e5	2.1049344540e6
9.4803705215e5	2.1049368382e6
9.4804677963e5	2.1049344540e6
9.4805517197e5	2.1049320698e6
9.4806079865e5	2.1049284935e6
9.4806985855e5	2.1049237251e6
9.4807825089e5	2.1049218178e6
9.4808588028e5	2.1049170494e6
9.4808940887e5	2.1049139500e6
9.4809217453e5	2.1049110889e6
9.4809570312e5	2.1049072742e6
9.4810190201e5	2.1049041748e6
9.4811172485e5	2.1048996449e6
9.4812707901e5	2.1048996449e6
9.4814453125e5	2.1049053669e6
9.4815282822e5	2.1049089432e6
9.4815568924e5	2.1049120426e6
9.4815845490e5	2.1049160957e6
9.4816474915e5	2.1049196720e6
9.4817171097e5	2.1049232483e6
9.4817800522e5	2.1049256325e6
9.4818429947e5	2.1049275398e6
9.4819126129e5	2.1049294472e6
9.4819965363e5	2.1049304008e6
9.4820528030e5	2.1049320698e6
9.4821710587e5	2.1049344540e6
9.4823102951e5	2.1049392223e6
9.4823942184e5	2.1049423218e6
9.4824781418e5	2.1049458981e6
9.4825754166e5	2.1049551964e6
9.4826173782e5	2.1049654484e6
9.4826316833e5	2.1049747467e6
9.4826593399e5	2.1049814224e6
9.4826946259e5	2.1049900055e6
9.4827079773e5	2.1049976349e6
9.4827013016e5	2.1050031185e6
9.4827013016e5	2.1050078869e6
9.4826593399e5	2.1050148010e6
9.4826660156e5	2.1050200462e6
9.4826173782e5	2.1050281525e6
9.4826173782e5	2.1050336361e6
9.4825963974e5	2.1050384045e6
9.4825687408e5	2.1050453186e6
9.4825334549e5	2.1050536633e6
9.4824638367e5	2.1050589085e6
9.4824085236e5	2.1050653458e6
9.4823312759e5	2.1050713062e6
9.4822540283e5	2.1050770283e6
9.4821920395e5	2.1050806046e6
9.4820384979e5	2.1050887108e6
9.4819688797e5	2.1050925255e6
9.4818706512e5	2.1050984859e6
9.4818153381e5	2.1051037312e6
9.4815778732e5	2.1051094532e6
9.4814243317e5	2.1051082611e6
9.4813261032e5	2.1051046848e6
9.4812564850e5	2.1051013470e6
9.4812145233e5	2.1050994396e6
9.4811935425e5	2.1051042080e6
9.4811735153e5	2.1051082611e6
9.4811096191e5	2.1051135063e6
9.4809989929e5	2.1051180363e6
9.4808454514e5	2.1051185131e6
9.4807128906e5	2.1051185131e6
9.4805583954e5	2.1051197052e6
9.4804191589e5	2.1051201820e6
9.4803571701e5	2.1051206589e6
9.4802522659e5	2.1051242352e6
9.4802026749e5	2.1051256657e6
9.4801330566e5	2.1051261425e6
9.4800214767e5	2.1051280499e6
9.4799385071e5	2.1051294804e6
9.4798326492e5	2.1051321030e6
9.4797563553e5	2.1051378250e6
9.4797077179e5	2.1051416397e6
9.4796237946e5	2.1051416397e6
9.4795541763e5	2.1051442623e6
9.4794778824e5	2.1051452160e6
9.4794139862e5	2.1051447392e6
9.4793167114e5	2.1051433086e6
9.4792613983e5	2.1051416397e6
9.4792261124e5	2.1051387787e6
9.4791984558e5	2.1051363945e6
9.4791212082e5	2.1051406860e6
9.4790306091e5	2.1051411629e6
9.4789400101e5	2.1051406860e6
9.4788494110e5	2.1051416397e6
9.4788007736e5	2.1051456928e6
9.4787378311e5	2.1051485538e6
9.4786262512e5	2.1051485538e6
9.4785289764e5	2.1051447392e6
9.4784240723e5	2.1051442623e6
9.4783115387e5	2.1051459312e6
9.4782209396e5	2.1051452160e6
9.4781656265e5	2.1051411629e6
9.4782075882e5	2.1051366329e6
9.4782352448e5	2.1051330566e6
9.4782981873e5	2.1051275730e6
9.4783468246e5	2.1051261425e6
9.4784030914e5	2.1051256657e6
9.4784450531e5	2.1051223278e6
9.4784584045e5	2.1051180363e6
9.4784307480e5	2.1051120758e6
9.4784030914e5	2.1051037312e6
