 9.4798417e+05  2.1050639e+06 
 9.4798417e+05  2.1050629e+06 
 9.4798418e+05  2.1050619e+06 
 9.4798420e+05  2.1050608e+06 
 9.4798423e+05  2.1050598e+06 
 9.4798426e+05  2.1050588e+06 
 9.4798430e+05  2.1050578e+06 
 9.4798436e+05  2.1050567e+06 
 9.4798441e+05  2.1050557e+06 
 9.4798448e+05  2.1050547e+06 
 9.4798455e+05  2.1050537e+06 
 9.4798463e+05  2.1050527e+06 
 9.4798472e+05  2.1050517e+06 
 9.4798482e+05  2.1050507e+06 
 9.4798492e+05  2.1050497e+06 
 9.4798503e+05  2.1050487e+06 
 9.4798515e+05  2.1050477e+06 
 9.4798528e+05  2.1050468e+06 
 9.4798541e+05  2.1050458e+06 
 9.4798555e+05  2.1050448e+06 
 9.4798570e+05  2.1050439e+06 
 9.4798585e+05  2.1050429e+06 
 9.4798602e+05  2.1050420e+06 
 9.4798618e+05  2.1050411e+06 
 9.4798636e+05  2.1050402e+06 
 9.4798654e+05  2.1050393e+06 
 9.4798673e+05  2.1050384e+06 
 9.4798693e+05  2.1050375e+06 
 9.4798713e+05  2.1050366e+06 
 9.4798734e+05  2.1050357e+06 
 9.4798756e+05  2.1050349e+06 
 9.4798778e+05  2.1050340e+06 
 9.4798801e+05  2.1050332e+06 
 9.4798824e+05  2.1050324e+06 
 9.4798849e+05  2.1050316e+06 
 9.4798873e+05  2.1050308e+06 
 9.4798899e+05  2.1050300e+06 
 9.4798924e+05  2.1050292e+06 
 9.4798951e+05  2.1050285e+06 
 9.4798978e+05  2.1050277e+06 
 9.4799006e+05  2.1050270e+06 
 9.4799034e+05  2.1050263e+06 
 9.4799062e+05  2.1050256e+06 
 9.4799092e+05  2.1050249e+06 
 9.4799121e+05  2.1050243e+06 
 9.4799151e+05  2.1050236e+06 
 9.4799182e+05  2.1050230e+06 
 9.4799213e+05  2.1050224e+06 
 9.4799245e+05  2.1050218e+06 
 9.4799277e+05  2.1050212e+06 
 9.4799309e+05  2.1050206e+06 
 9.4799342e+05  2.1050201e+06 
 9.4799376e+05  2.1050196e+06 
 9.4799409e+05  2.1050191e+06 
 9.4799443e+05  2.1050186e+06 
 9.4799478e+05  2.1050181e+06 
 9.4799513e+05  2.1050176e+06 
 9.4799548e+05  2.1050172e+06 
 9.4799583e+05  2.1050168e+06 
 9.4799619e+05  2.1050164e+06 
 9.4799655e+05  2.1050160e+06 
 9.4799691e+05  2.1050156e+06 
 9.4799728e+05  2.1050153e+06 
 9.4799765e+05  2.1050150e+06 
 9.4799802e+05  2.1050146e+06 
 9.4799839e+05  2.1050144e+06 
 9.4799877e+05  2.1050141e+06 
 9.4799915e+05  2.1050139e+06 
 9.4799952e+05  2.1050136e+06 
 9.4799991e+05  2.1050134e+06 
 9.4800029e+05  2.1050132e+06 
 9.4800067e+05  2.1050131e+06 
 9.4800106e+05  2.1050129e+06 
 9.4800144e+05  2.1050128e+06 
 9.4800183e+05  2.1050127e+06 
 9.4800221e+05  2.1050126e+06 
 9.4800260e+05  2.1050126e+06 
 9.4800299e+05  2.1050125e+06 
 9.4800338e+05  2.1050125e+06 
 9.4800377e+05  2.1050125e+06 
 9.4800416e+05  2.1050125e+06 
 9.4800454e+05  2.1050125e+06 
 9.4800493e+05  2.1050126e+06 
 9.4800532e+05  2.1050127e+06 
 9.4800571e+05  2.1050128e+06 
 9.4800609e+05  2.1050129e+06 
 9.4800648e+05  2.1050131e+06 
 9.4800686e+05  2.1050132e+06 
 9.4800724e+05  2.1050134e+06 
 9.4800762e+05  2.1050136e+06 
 9.4800800e+05  2.1050138e+06 
 9.4800838e+05  2.1050141e+06 
 9.4800875e+05  2.1050143e+06 
 9.4800913e+05  2.1050146e+06 
 9.4800950e+05  2.1050149e+06 
 9.4800987e+05  2.1050152e+06 
 9.4801023e+05  2.1050156e+06 
 9.4801060e+05  2.1050160e+06 
 9.4801096e+05  2.1050163e+06 
 9.4801132e+05  2.1050167e+06 
 9.4801167e+05  2.1050172e+06 
 9.4801202e+05  2.1050176e+06 
 9.4801237e+05  2.1050180e+06 
 9.4801272e+05  2.1050185e+06 
 9.4801306e+05  2.1050190e+06 
 9.4801339e+05  2.1050195e+06 
 9.4801373e+05  2.1050201e+06 
 9.4801406e+05  2.1050206e+06 
 9.4801438e+05  2.1050212e+06 
 9.4801470e+05  2.1050217e+06 
 9.4801502e+05  2.1050223e+06 
 9.4801533e+05  2.1050229e+06 
 9.4801564e+05  2.1050236e+06 
 9.4801594e+05  2.1050242e+06 
 9.4801624e+05  2.1050249e+06 
 9.4801653e+05  2.1050256e+06 
 9.4801682e+05  2.1050263e+06 
 9.4801710e+05  2.1050270e+06 
 9.4801738e+05  2.1050277e+06 
 9.4801765e+05  2.1050284e+06 
 9.4801791e+05  2.1050292e+06 
 9.4801817e+05  2.1050299e+06 
 9.4801842e+05  2.1050307e+06 
 9.4801867e+05  2.1050315e+06 
 9.4801891e+05  2.1050323e+06 
 9.4801915e+05  2.1050331e+06 
 9.4801938e+05  2.1050340e+06 
 9.4801960e+05  2.1050348e+06 
 9.4801982e+05  2.1050357e+06 
 9.4802003e+05  2.1050365e+06 
 9.4802023e+05  2.1050374e+06 
 9.4802043e+05  2.1050383e+06 
 9.4802062e+05  2.1050392e+06 
 9.4802080e+05  2.1050401e+06 
 9.4802098e+05  2.1050410e+06 
 9.4802115e+05  2.1050419e+06 
 9.4802131e+05  2.1050429e+06 
 9.4802147e+05  2.1050438e+06 
 9.4802161e+05  2.1050448e+06 
 9.4802176e+05  2.1050457e+06 
 9.4802189e+05  2.1050467e+06 
 9.4802202e+05  2.1050477e+06 
 9.4802214e+05  2.1050486e+06 
 9.4802225e+05  2.1050496e+06 
 9.4802235e+05  2.1050506e+06 
 9.4802245e+05  2.1050516e+06 
 9.4802254e+05  2.1050526e+06 
 9.4802262e+05  2.1050536e+06 
 9.4802269e+05  2.1050546e+06 
 9.4802276e+05  2.1050556e+06 
 9.4802282e+05  2.1050567e+06 
 9.4802287e+05  2.1050577e+06 
 9.4802291e+05  2.1050587e+06 
 9.4802295e+05  2.1050597e+06 
 9.4802298e+05  2.1050608e+06 
 9.4802300e+05  2.1050618e+06 
 9.4802301e+05  2.1050628e+06 
 9.4802301e+05  2.1050638e+06 
 9.4802301e+05  2.1050649e+06 
 9.4802300e+05  2.1050659e+06 
 9.4802298e+05  2.1050669e+06 
 9.4802295e+05  2.1050679e+06 
 9.4802292e+05  2.1050690e+06 
 9.4802288e+05  2.1050700e+06 
 9.4802283e+05  2.1050710e+06 
