71	948004.4791	2105107.016	3176.706489
72	948003.7738	2105097.426	3175.448067
74	948002.5102	2105078.053	3173.311892
78	948000.2639	2105028.4	3171.974335
80	947998.7462	2105008.297	3172.453037
81	947998.1709	2104998.18	3172.9909
82	947968.976	2105042.143	3166.297004
83	947979.0476	2105041.48	3167.671232
84	947990.599	2105039.887	3169.391573
85	948007.9554	2105038.517	3172.538469
86	948017.4029	2105037.418	3174.860439
87	948027.2176	2105036.173	3177.125087
89	948020.5989	2105056.833	3176.126915
90	947992.4632	2105059.521	3169.419977
94      947984.993	2105080.17	3168.894674
95	947993.6414	2105079.451	3170.782055
98	948021.3174	2105075.78	3178.058964
99	948031.895	2105074.533	3180.695085

