50	948000.424264108	2105038.99375136	3171.61198818976
78	948000.273604161	2105028.34396635	3171.95000320987
80	947998.600062601	2105008.41251468	3172.44631460923
81	947998.093370562	2104998.19028477	3172.99572471061
82	947968.709666519	2105042.56672826	3166.18577350813
84	947990.578090693	2105039.89941771	3169.40178745522
85	948007.911274448	2105038.5341698		3172.55209369101
86	948017.335291182	2105037.42304928	3174.85753420939
87	948027.153016089	2105036.17090005	3177.10622859795
89	948020.45085567		2105056.82850052	3176.0966131462
90	947992.434511931	2105059.54746871	3169.38557504442
93	947974.55335113		2105081.55547865	3166.71341528679
95	947993.533884313	2105079.39879137	3170.73574106812
99	948031.791920096	2105074.54973987	3180.67244015744
		
		
		

