1	948015.9633	2105104.489	3179.597427
2	947998.7201	2105093.162	3173.021004
3	948012.8953	2105091.04	3176.993366
4	948026.8944	2105089.399	3180.924351
5	948041.7148	2105087.859	3184.768245
6	948040.1433	2105072.88	3182.172476
7	948025.6334	2105074.913	3178.666985
9	947996.9057	2105078.156	3171.209001
10	947982.572	2105079.805	3167.743133
11	947980.6982	2105065.902	3166.889042
13	948009.4576	2105061.703	3173.34939
14	948023.9176	2105059.595	3176.83394
15	948038.5589	2105057.61	3180.136722
16	948036.3013	2105043.89	3178.776129
17	948021.5942	2105045.569	3175.67179
18	948007.5647	2105047.402	3172.534755
19	947993.2229	2105049.197	3169.429648
20	947978.676	2105051.13	3166.731277
21	947976.5558	2105040.088	3166.629907
22	947990.9154	2105036.81	3169.229427
23	948018.9882	2105030.033	3175.294421
24	948033.3876	2105026.964	3178.175818
26	948016.9274	2105017.166	3175.249238
27	948002.5134	2105018.04	3172.038247
28	947988.3804	2105020.889	3169.414825
29	947971.1308	2105022.269	3166.585507
