1     948015.820332421     2105104.46244869     3179.54206290605
2     947998.565039672     2105093.15469057     3172.89287417274
3     948012.64221129      2105090.97976519     3176.94437204787
4     948026.715709738     2105089.38149454     3180.86249194833
5     948041.537998713     2105087.84191004     3184.72771238239
6     948039.951776361     2105072.87927587     3182.08571893807
7     948025.447793044     2105074.91220968     3178.56224874531
8     948011.023528549     2105076.34784471     3174.81889132357
9     947996.786235746     2105078.18631625     3171.10745242527
10    947982.553237457     2105079.83250878     3167.66692809148
13    948009.287546495     2105061.72609378     3173.20550317745
14    948023.728486811     2105059.60466042     3176.73967350905
15    948038.356419241     2105057.62108301     3180.0479734175
16    948036.106790088     2105043.91466035     3178.66785304572
17    948021.407161734     2105045.59794955     3175.55433949383
18    948007.419790631     2105047.44761441     3172.42534408024
19    947993.128861959     2105049.25405944     3169.32870608723
20    947978.647832246     2105051.1687462      3166.67358921659
21    947976.528607835     2105040.12809192     3166.62577776372
22    947990.847809025     2105036.8737758      3169.15286786401
23    948018.822799611     2105030.09876029     3175.21624158359
24    948033.207288252     2105027.01958183     3178.11640410283
25    948031.332023783     2105015.98941648     3177.91256872583
26    948016.78126735      2105017.23696913     3175.21291705668
27    948002.40287318      2105018.11088902     3172.00408793403
28    947971.100118256     2105022.30535725     3166.57725561404
30    947999.958833947     2105003.55013458     3171.98154704556

