948116.384	2105073.529	3202.634	14	True
948115.143	2105075.25	3202.561	14	True
948114.234	2105076.844	3202.575	14	True
948113.232	2105078.285	3202.59	14	True
948111.378	2105079.304	3202.036	14	True
948109.47	2105081.176	3201.811	14	True
948107.826	2105082.853	3201.686	14	True
948105.974	2105084.614	3201.66	14	True
948104.229	2105086.231	3201.463	14	True
948103.623	2105088.638	3201.577	14	True
948101.038	2105090.599	3201.412	14	True
948099.668	2105092.207	3201.341	14	True
948098.216	2105094.208	3201.551	14	True
948096.898	2105095.674	3201.522	14	True
948095.03	2105097.723	3201.436	14	True
948093.498	2105099.259	3201.425	14	True
948091.413	2105101.012	3201.289	14	True
948089.189	2105102.848	3201.326	14	True
948087.725	2105104.279	3201.178	14	True
948086.01	2105106.142	3201.038	14	True
948084.241	2105107.576	3200.827	14	True
948082.688	2105109.251	3201.021	14	True
948081.836	2105110.197	3201.163	14	True
948064.939	2105110.807	3196.299	12	True
948066.555	2105108.969	3196.068	12	True
948068.094	2105107.847	3196.192	12	True
948069.51	2105106.615	3196.253	12	True
948070.745	2105105.575	3196.355	12	True
948071.876	2105104.677	3196.426	12	True
948072.989	2105103.11	3196.255	12	True
948073.769	2105101.613	3196.186	12	True
948075.358	2105099.99	3196.223	12	True
948076.543	2105098.155	3196.099	12	True
948078.018	2105096.778	3196.245	12	True
948079.077	2105095.004	3196.173	12	True
948080.238	2105092.976	3195.978	12	True
948081.052	2105091.114	3195.847	12	True
948082.59	2105089.447	3195.834	12	True
948084.065	2105087.774	3195.888	12	True
948085.607	2105085.946	3195.913	12	True
948087.341	2105083.934	3196.025	12	True
948088.864	2105082.638	3196.208	12	True
948089.716	2105081.357	3196.189	12	True
948091.04	2105078.91	3195.998	12	True
948091.702	2105077.371	3195.954	12	True
948092.678	2105075.471	3195.905	12	True
948093.988	2105072.9	3195.832	12	True
948095.0	2105070.46	3195.7	12	True
948095.54	2105069.064	3195.616	12	True
948096.136	2105066.788	3195.264	12	True
948096.642	2105065.314	3195.252	12	True
948097.135	2105063.605	3195.198	12	True
948098.577	2105070.066	3196.461	11	True
948099.115	2105068.442	3196.354	11	True
948099.494	2105067.348	3196.268	11	True
948099.843	2105066.198	3196.227	11	True
948100.222	2105064.91	3196.079	11	True
948100.769	2105063.727	3195.985	11	True
948101.056	2105062.243	3195.894	11	True
948101.505	2105060.632	3195.829	11	True
948101.911	2105058.986	3195.686	11	True
948102.451	2105057.283	3195.583	11	True
948103.058	2105054.71	3195.416	11	True
948103.665	2105052.044	3195.115	11	True
948103.951	2105049.866	3194.932	11	True
948103.921	2105047.61	3194.759	11	True
948104.021	2105045.403	3194.541	11	True
948104.272	2105043.571	3194.316	11	True
948104.39	2105041.692	3194.088	11	True
948104.423	2105039.667	3193.903	11	True
948104.399	2105037.771	3193.678	11	True
948104.133	2105035.795	3193.386	11	True
948103.648	2105034.262	3193.17	11	True
948103.258	2105032.135	3192.909	11	True
948103.093	2105030.053	3192.627	11	True
948102.218	2105027.817	3192.196	11	True
948101.548	2105026.291	3191.974	11	True
948100.675	2105024.193	3191.662	11	True
948092.859	2105042.646	3191.348	10	True
948092.874	2105044.416	3191.47	10	True
948092.588	2105045.929	3191.675	10	True
948092.463	2105047.661	3191.847	10	True
948092.421	2105048.9	3191.948	10	True
948092.052	2105050.513	3192.026	10	True
948091.772	2105052.085	3192.139	10	True
948091.387	2105053.539	3192.261	10	True
948091.043	2105055.211	3192.416	10	True
948090.735	2105056.786	3192.33	10	True
948084.554	2105072.524	3193.089	13	True
948083.858	2105073.804	3193.099	13	True
948083.028	2105075.458	3193.123	13	True
948082.077	2105076.949	3193.156	13	True
948081.331	2105078.315	3193.186	13	True
948080.515	2105079.665	3193.193	13	True
948079.764	2105080.769	3193.215	13	True
948078.664	2105081.941	3193.167	13	True
948077.981	2105082.734	3193.211	13	True
948075.4	2105083.308	3192.55	15	True
948074.585	2105084.112	3192.52	15	True
948073.833	2105084.935	3192.45	15	True
948072.901	2105085.954	3192.332	15	True
948072.208	2105086.816	3192.255	15	True
948071.126	2105087.641	3192.198	15	True
948070.412	2105088.34	3192.111	15	True
948069.216	2105089.45	3192.004	15	True
948068.274	2105090.183	3191.88	15	True
948067.234	2105090.963	3191.782	15	True
948066.069	2105091.648	3191.654	15	True
948064.771	2105092.518	3191.466	15	True
948063.682	2105093.541	3191.36	15	True
948062.834	2105094.045	3191.167	15	True
948060.027	2105094.86	3190.55	15	True
948059.148	2105095.614	3190.475	15	True
948057.71	2105096.551	3190.238	15	True
948056.652	2105097.799	3190.199	15	True
948055.575	2105099.089	3190.169	15	True
948054.328	2105100.233	3189.95	15	True
948053.092	2105100.94	3189.868	15	True
948051.884	2105101.889	3189.681	15	True
948049.205	2105103.145	3189.19	15	True
948047.952	2105104.149	3189.029	15	True
948047.084	2105105.042	3188.993	15	True
948045.79	2105106.155	3188.803	15	True
948044.667	2105106.924	3188.654	15	True
948043.464	2105108.149	3188.692	15	True
948041.638	2105109.629	3188.404	15	True
948040.138	2105110.917	3188.384	15	True
948039.371	2105111.538	3188.389	15	True
948038.806	2105094.631	3184.314	16	True
948037.594	2105095.28	3184.078	16	True
948036.021	2105095.887	3183.728	16	True
948034.532	2105096.773	3183.383	16	True
948032.72	2105097.747	3183.004	16	True
948031.388	2105098.424	3182.757	16	True
948030.198	2105099.519	3182.54	16	True
948028.952	2105100.558	3182.321	16	True
948027.839	2105101.7	3182.159	16	True
948026.329	2105102.989	3182.033	16	True
948024.865	2105104.29	3181.834	16	True
948023.482	2105105.645	3181.637	16	True
948021.857	2105107.216	3181.419	16	True
948020.066	2105108.269	3181.089	16	True
948018.717	2105109.19	3180.732	16	True
948017.501	2105109.959	3180.541	16	True
948016.183	2105110.96	3180.214	16	True
948015.013	2105111.761	3179.975	16	True
948014.161	2105112.532	3179.814	16	True
948012.62	2105113.731	3179.454	16	True
948011.463	2105114.549	3179.26	16	True
948010.331	2105115.363	3178.992	16	True
948009.204	2105116.091	3178.747	16	True
948007.5	2105117.326	3178.367	16	True
947975.846	2105104.029	3166.628	18	True
947976.282	2105105.094	3166.799	18	True
947976.718	2105106.389	3166.99	18	True
947977.262	2105107.736	3167.18	18	True
947977.693	2105109.001	3167.385	18	True
947978.458	2105110.212	3167.644	18	True
947979.355	2105111.462	3167.987	18	True
947980.271	2105112.233	3168.414	18	True
947981.887	2105112.927	3168.755	18	True
947983.158	2105113.472	3169.262	18	True
947977.52	2105116.876	3167.577	17	True
947978.235	2105117.541	3167.83	17	True
947979.023	2105118.153	3168.321	17	True
947980.259	2105118.786	3168.73	17	True
947981.04	2105119.205	3169.082	17	True
947981.992	2105119.536	3169.387	17	True
