1	948058.542	2105081.609	3188.684
2	948054.385	2105057.717	3185.897
3	948052.310	2105040.961	3183.530
4	948049.870	2105021.315	3182.144
5	948038.447	2105102.357	3185.909
6	948035.894	2105081.320	3182.897
7	948033.709	2105061.865	3179.926
8	948031.955	2105041.995	3178.717
9	948029.357	2105022.022	3178.161
10	948026.511	2105004.131	3178.251
11	948016.406	2105102.674	3178.661
12	948014.971	2105084.657	3176.431
13	948012.357	2105065.722	3174.683
14	948007.885	2105042.899	3173.633
15	948006.532	2105026.090	3173.754
16	948003.150	2105003.984	3173.654
17	947981.772	2105008.010	3169.429
18	947985.540	2105027.275	3169.429
19	947987.353	2105048.347	3169.879
20	947989.461	2105068.295	3169.893
21	947991.580	2105088.316	3170.681
22	947993.389	2105107.646	3172.278
23	947972.033	2105108.948	3166.187
24	947969.826	2105088.786	3165.347
25	947967.507	2105068.781	3165.004
26	947965.194	2105049.422	3165.169
27	947962.926	2105030.829	3165.662
28	947960.946	2105011.485	3166.858
29	947931.158	2105006.820	3163.620
30	947935.040	2105033.923	3161.016
31	947937.479	2105064.614	3158.704
32	947939.587	2105091.405	3157.196
33	947941.728	2105123.667	3157.214
34	947918.413	2105108.568	3149.303
35	947915.930	2105083.973	3149.800
36	947912.861	2105055.535	3151.677
37	947909.682	2105025.926	3154.304
38	947898.295	2105122.144	3140.841
39	947895.746	2105093.396	3141.675
40	947892.597	2105064.966	3144.064
41	947890.293	2105040.658	3147.086
42	947887.660	2105014.954	3151.352
43	947865.224	2105048.089	3137.895
44	947873.342	2105081.005	3135.133
