850
-400	127.294	        115.288	        101.608	        88	        102.2715	114.979	        136.977	        158.1505
-364	127.294	        115.288	        101.608	        88	        102.2715	114.979	        136.977	        158.1505
-363	124.312033	112.252673	98.511873	84.843393	99.014153	111.631953	133.474673	154.498713
-362	121.4195481	109.3068281	95.50522805	81.77626805	95.84628805	108.3743881	130.0618281	150.9364081
-361	119.2211408	107.0550608	93.1926608	79.4032208	93.3725008	105.8109008	127.3430608	148.0681808
-360	116.8111014	104.5916614	90.6684614	76.8185414	90.6870814	103.0357814	124.4126614	144.9883214
-359	114.8503661	102.5775661	88.59356605	74.68316605	88.45096605	100.7099661	121.9315661	142.3577661
-358	111.2576486	98.93148855	84.88668855	70.91580855	84.58286855	96.75216855	117.8184886	138.0952286
-357	107.0021011	94.62258105	80.51698105	66.48562105	80.05194105	92.13154105	113.0425811	133.1698611
-356	101.6765566	89.24367655	75.07727655	60.98543655	74.45101655	86.44091655	107.1966766	127.1744966
-355	97.49676105	85.01052105	70.78332105	56.63100105	69.99584105	81.89604105	102.4965211	122.3248811
-354	93.96559205	81.42599205	67.13799205	52.92519205	66.18929205	77.99979205	98.44499205	118.1238921
-353	90.16455655	77.57159655	63.22279655	48.94951655	62.11287655	73.83367655	94.12359655	113.6530366
-352	86.98374055	74.33742055	59.92782055	45.59406055	58.65668055	70.28778055	90.42242055	109.8024006
-351	82.77080355	70.07112355	55.60072355	41.20648355	54.16836355	65.70976355	85.68912355	104.9196436
-350	79.43374905	66.68070905	52.14950905	37.69478905	50.55592905	62.00762905	81.83170905	100.9127691
-349	76.16771205	63.36131205	48.76931205	34.25411205	47.01451205	58.37651205	78.04531205	96.97691205
-348	73.99723835	61.13747835	46.48467835	31.90899835	44.56865835	55.84095835	75.35447835	94.13661835
-347	70.59390085	57.68078085	42.96718085	28.33102085	40.88994085	52.07254085	71.43078085	90.06346085
-346	66.59875085	53.63227085	38.85787085	24.16123085	36.61941085	47.71231085	66.91527085	85.39849085
-345	62.84506035	49.82522035	34.99002035	20.23290035	32.59034035	43.59354035	62.64122035	80.97498035
-344	59.79207585	46.71887585	31.82287585	17.00527585	29.26197585	40.17547585	59.06787585	77.25217585
-343	56.9213696	43.7948096	28.8380096	13.9599296	26.1158896	36.9396896	55.6768096	73.7116496
-342	60.03804075	46.82985804	31.78005465	16.80946075	28.90025278	39.66602651	58.30269702	76.24085244
-341	60.03804075	46.82985804	31.78005465	16.80946075	28.90025278	39.66602651	58.30269702	76.24085244
-340	60.03804075	46.82985804	31.73483945	16.70376555	28.69381758	39.36989131	57.85128182	75.63997724
-339	61.41054075	48.17409533	33.04687335	17.98376555	30.00938962	40.71713708	59.25335809	77.09482894
-338	61.4666364	48.14856826	32.92834289	17.7727212	29.7331773	40.38289849	58.81867001	76.56345628
-337	59.95094405	46.57951591	31.29849054	16.08238885	27.94210495	38.50212614	56.78261766	74.37794393
-336	62.44344405	49.0437532	33.73052444	18.48238885	30.37767699	40.9693719	59.30469393	76.95279563
-335	62.57594405	49.14799049	33.80255834	18.52238885	30.45324902	41.07661766	59.46677021	77.16764732
-334	61.0034377	47.52212414	32.11589199	16.7752425	28.60536267	39.13903131	57.37390386	74.92532097
-333	58.3670892	44.83241564	29.36538349	13.964254	25.69363417	36.13760281	54.21719536	71.61915247
-332	57.1330996	43.54506604	28.01723389	12.5556244	24.18426457	34.53853321	52.46284576	69.71534287
-331	57.1330996	43.54506604	28.01723389	12.5556244	24.18426457	34.53853321	52.46284576	69.71534287
-330	56.11263595	42.47124239	26.88261024	11.36052075	22.88842092	33.15298956	50.92202211	68.02505922
-329	58.04513595	44.37547968	28.75464414	13.20052075	24.76399295	35.06023533	52.88409838	70.03991092
-328	58.04513595	44.37547968	28.75464414	13.20052075	24.76399295	35.06023533	52.88409838	70.03991092
-327	56.11233415	42.38931788	26.70768234	11.09307895	22.55581115	32.76235353	50.43093658	67.43728912
-326	54.6165267	40.84015043	25.09771489	9.4226315	20.7846237	30.90146608	48.41476913	65.27166167
-325	52.1667175	38.33698123	22.53374569	6.7981823	18.0594345	28.08657688	45.44459993	62.15203247
-324	50.05447815	36.17138188	20.30734634	4.51130295	15.67181515	25.60925753	42.81200058	59.36997312
-323	48.12262325	34.18616698	18.26133144	2.40480805	13.46458025	23.31232263	40.35978568	56.76829822
-322	48.4700034	34.45192442	18.43408549	2.4850482	13.47965244	23.26936854	40.2163821	56.52821006
-321	48.02045445	33.92075276	17.80991044	1.76835925	12.69779552	22.42948535	39.27604942	55.49119281
-320	53.95295445	39.77855289	23.57470718	7.4406421	18.30491041	27.97857396	44.72468854	60.84314735
-319	57.10545445	42.90279018	26.66674108	10.5006421	21.40048244	31.10581973	47.90676481	64.07799905
-318	58.31795445	44.08702747	27.81877498	11.6206421	22.55605447	32.29306549	49.14884108	65.37285074
-317	57.3230571	43.03877012	26.70971763	10.45110475	21.28577712	30.93308814	47.63358373	63.70813339
-316	56.38686755	42.04922057	25.65936808	9.3402752	20.07420757	29.63181859	46.17703418	62.10212384
-315	54.75328615	40.36227917	23.91162668	7.5320538	18.16524617	27.63315719	44.02309278	59.79872244
-314	52.3494016	37.90503462	21.39358213	4.95352925	15.48598162	24.86419264	41.09884823	56.72501789
-313	48.6761976	34.17847062	17.60621813	1.10568525	11.53739762	20.82590864	36.90528423	52.38199389
-312	43.88372496	29.33263798	12.69958549	-3.86142739	6.469544983	15.668356	31.59245159	46.91970125
-311	40.46993872	25.86549174	9.171639251	-7.44985363	2.780378743	11.88948976	27.65830535	42.83609501
-310	38.7821618	24.12435482	7.369702331	-9.31227055	0.817221823	9.83663284	25.45016843	40.47849809
-309	35.85462765	21.14346067	4.328008179	-12.4144447	-2.385692329	6.544018688	22.00227428	36.88114394
-308	31.39091869	16.62639171	-0.249860781	-17.05279366	-7.124781289	1.715229728	17.01820532	31.74761498
-307	29.04190256	14.22401558	-2.713036909	-19.57644979	-9.749177417	-0.9988664	14.14882919	28.72877885
-306	29.37440256	14.52825287	-2.44100301	-19.33644979	-9.473605383	-0.691620637	14.51090546	29.14363055
-305	29.66690256	14.79249016	-2.208969112	-19.13644979	-9.238033349	-0.424374875	14.83298174	29.51848224
